ruta,seccion,slot_tipo,proporcion,tamaño_minimo,archivo_sugerido,alt_pendiente,prioridad
colonias/tres-rios.html,hero,hero-image-slot,16:9,1920x1080,cocinas-tres-rios-hero.jpg,Cocinas integrales en Tres Ríos Culiacán,alta
colonias/tres-rios.html,servicios,hero-image-slot,16:9,800x450,tres-rios-servicios.jpg,Servicios cocinas Tres Ríos,media
colonias/tres-rios.html,zona,hero-image-slot,16:9,800x450,tres-rios-zona.jpg,Fraccionamiento Tres Ríos Culiacán,media
colonias/tres-rios.html,beneficios,card-image-slot,1:1,300x300,tres-rios-beneficios.jpg,Beneficios cocinas Tres Ríos,media
colonias/tres-rios.html,ejemplos,gallery-image-slot,4:3,600x450,tres-rios-ejemplo.jpg,Ejemplo cocina integral Tres Ríos,media
colonias/las-quintas.html,hero,hero-image-slot,16:9,1920x1080,cocinas-las-quintas-hero.jpg,Cocinas integrales en Las Quintas Culiacán,alta
colonias/las-quintas.html,servicios,hero-image-slot,16:9,800x450,las-quintas-servicios.jpg,Servicios cocinas Las Quintas,media
colonias/las-quintas.html,zona,hero-image-slot,16:9,800x450,las-quintas-zona.jpg,Fraccionamiento Las Quintas Culiacán,media
colonias/las-quintas.html,beneficios,card-image-slot,1:1,300x300,las-quintas-beneficios.jpg,Beneficios cocinas Las Quintas,media
colonias/las-quintas.html,ejemplos,gallery-image-slot,4:3,600x450,las-quintas-ejemplo.jpg,Ejemplo cocina integral Las Quintas,media
colonias/chapultepec.html,hero,hero-image-slot,16:9,1920x1080,cocinas-chapultepec-hero.jpg,Cocinas integrales en Chapultepec Culiacán,alta
colonias/chapultepec.html,servicios,hero-image-slot,16:9,800x450,chapultepec-servicios.jpg,Servicios cocinas Chapultepec,media
colonias/chapultepec.html,zona,hero-image-slot,16:9,800x450,chapultepec-zona.jpg,Colonia Chapultepec Culiacán,media
colonias/chapultepec.html,beneficios,card-image-slot,1:1,300x300,chapultepec-beneficios.jpg,Beneficios cocinas Chapultepec,media
colonias/chapultepec.html,ejemplos,gallery-image-slot,4:3,600x450,chapultepec-ejemplo.jpg,Ejemplo cocina integral Chapultepec,media
